title,description,url,category,role
Living Corporate,"A platform that amplifies Black and Brown voices in the workplace, providing authentic conversations about DEI and professional development.​",https://open.spotify.com/show/2mRmf9FpyH8GfhRNSQ1ZV9?si=cb32a36f3199406d,Podcast,everyone
FinTech's DEI Discussions,"This podcast delves into diversity, equity, and inclusion within the financial technology industry, featuring discussions with leaders driving change.​",https://open.spotify.com/show/0UHW1cPNqAouc2TaRga9ji?si=dfddd0b187cf452f,Podcast,everyone
Diversity in Tech,"The podcast that brings you expert advice and unique insights on diversity and inclusion in the tech industry. Whether you’re a software developer, a designer, a CTO, or a people manager, we’re here to help you make your workplace more accessible, open, and equitable.",https://open.spotify.com/show/0lAlYPM075iimuERRXuHM2?si=836681122b5b4b41,Podcast,everyone
What DEI Gets Wrong — and How to Do It Right – Paolo Gaudiano,Discusses common misconceptions in DEI initiatives and offers data-driven approaches to implement meaningful change.​,https://www.ted.com/talks/paolo_gaudiano_what_dei_gets_wrong_and_how_to_do_it_right,TED Talks,everyone
We Need Leaders Who Boldly Champion Inclusion– June Sarpong,"Calls for courageous leadership that actively promotes inclusion, arguing that such leadership is essential for organizational success.​",https://www.ted.com/talks/june_sarpong_we_need_leaders_who_boldly_champion_inclusion,TED Talks,everyone
How Diversity Makes Teams More Innovative – Rocío Lorenzo,"Presents research demonstrating that diverse teams are more innovative, providing a compelling business case for diversity.​",https://www.ted.com/talks/rocio_lorenzo_how_diversity_makes_teams_more_innovative,TED Talks,everyone
Let's Stop Talking About Diversity and Start Working Towards Equity – Paloma Medina,"Reframes the conversation from diversity to equity, advocating for systemic changes that promote fairness and inclusion.",https://www.youtube.com/watch?v=deYUUfak08Y&ab_channel=TEDxTalks,TED Talks,everyone
Humans are biased. Generative AI is even worse,Stable Diffusion’s text-to-image model amplifies stereotypes about race and gender — here’s why that matters.,https://www.bloomberg.com/graphics/2023-generative-ai-bias/,Article,everyone
A New Way to Combat Bias at Work,"Joan Williams says that it's extremely difficult for organizations to rid their workforces of the unconscious biases that can prevent women and minorities from advancing. But it's not so hard for individual managers to interrupt bias within their own teams. She offers specific suggestions for how bosses can shift their approach in four areas: hiring, meetings, assignments, and reviews/promotions.",https://podcasts.apple.com/gb/podcast/a-new-way-to-combat-bias-at-work/id152022135?i=1000462472919,Podcast,everyone
Greater progress on diversity and inclusion essential to rebuild productive and resilient workplaces,"High levels of diversity and inclusion in the workplace are associated with greater productivity, innovation and workforce well-being, yet too little is being done to promote them, particularly among minority groups, meaning that enterprises, workers and societies are missing out on considerable potential benefits.",https://www.ilo.org/resource/news/greater-progress-diversity-and-inclusion-essential-rebuild-productive-and,Article,everyone
Diversity matters even more: The case for holistic impact,"Diversity Matters Even More is the fourth report in a McKinsey series investigating the business case for diversity, following Why Diversity Matters (2015), Delivering Through Diversity (2018), and Diversity Wins (2020). For almost a decade through our Diversity Matters series of reports, McKinsey has delivered a comprehensive global perspective on the relationship between leadership diversity and company performance. ",https://www.mckinsey.com/featured-insights/diversity-and-inclusion/diversity-matters-even-more-the-case-for-holistic-impact,Article,everyone
"The Business Case For Diversity, Equity And Inclusion","Diversity, equity and inclusion have become critical components of business success. While these concepts are often viewed through the lens of social justice and morality, there is also a compelling business case for promoting diversity and creating a culture of inclusion in the workplace. From attracting top talent to fostering a more collaborative and creative workplace, the benefits of DEI are clear.",https://www.forbes.com/councils/forbesbusinessdevelopmentcouncil/2023/05/11/the-business-case-for-diversity-equity-and-inclusion/,Article,everyone
Understanding Intersectionality — DEI Toolkit,"A comprehensive resource explaining what intersectionality is, why it matters, and how it shapes inclusion strategies. Includes tip sheets, reflection exercises, and team activities.",https://www.deitoolkit.tools/understanding-intersectionality/understanding-intersectionality,Guide,everyone
Six Ways to Advance Disability Inclusion in Your Organization,"Best practices for advancing disability inclusion, from creating accessible environments to building inclusive culture and leadership commitment.",https://www.ey.com/en_es/diversity-inclusiveness/six-ways-to-advance-disability-inclusion-in-your-organization,Article,managers
Inclusify: The Power of Uniqueness and Belonging to Build Innovative Teams,"Explores how leaders can embrace diversity while fostering belonging, with practical strategies for building inclusive, innovative teams.",https://www.amazon.com/Inclusify-Power-Uniqueness-Belonging-Innovative/dp/1094159697?utm_source=chatgpt.com,Book,managers
How to Be an Inclusive Leader: Your Role in Creating Cultures of Belonging Where everyone Can Thrive,A step-by-step guide for leaders on how to build inclusive cultures and move from awareness to action.,https://www.amazon.com/How-Be-Inclusive-Leader-Belonging/dp/1523085177?utm_source=chatgpt.com,Book,managers
Design for Belonging: How to Build Inclusion and Collaboration in Your Communities,Offers practical tools and design thinking approaches to create spaces and teams where people truly feel they belong.,https://www.amazon.com/Design-Belonging-Inclusion-Collaboration-Communities/dp/1984858033?utm_source=chatgpt.com,Book,managers
Inclusive Leadership: Equity and Belonging in Our Communities,Brings together perspectives on creating equity and belonging across different community contexts and organizations.,https://www.amazon.com/Inclusive-Leadership-Belonging-Communities-Building/dp/1837974411?utm_source=chatgpt.com,Book,managers
Inclusive Leadership: The Definitive Guide To Developing And Executing An Impactful Diversity And Inclusion Strategy,"Inclusive Leadership helps you drive culture change across your organization. It guides you through leading change in the employee lifecycle, supply chain, and product development — creating real, lasting impact through your people.",https://www.amazon.com/-/pt/dp/B01N75R57X/ref=sr_1_3?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=ENM1BFPZL9XD&dib=eyJ2IjoiMSJ9.vYPeQlbB2T2icvq7KKnaZp8De6p32QjkvMpXCpsipNbq-KPEqngcm1cyeNEYEz6a1Czkvn572dS8_vbwezFm6S7cwaAToTW04gTSa5RxKOm9-5Vh865Zw4IApb2R79TMQgSfmaU5hURKHAZ8JRJKMg.z1z-_Vjm4fN4jegll3lZr4PW8N3FpG7Tc9G9i3pLCpw&dib_tag=se&keywords=Inclusive+Leadership&qid=1759847963&s=digital-text&sprefix=inclusive+leadership+%2Cdigital-text%2C267&sr=1-3,Book,managers
Inclusion on Purpose: An Intersectional Approach to Creating a Culture of Belonging at Work,Explains how to build equitable workplaces through intersectional inclusion strategies and practical actions.,https://talentally.com/resources/10-books-to-become-an-ally-at-work?utm_source=chatgpt.com,Book,everyone
A Sense of Belonging at Work: A Guide to Improving Well-being and Performance,"Offers research-based strategies and tools for leaders to help employees feel a stronger sense of belonging, improving both well-being and performance.",https://www.routledge.com/A-Sense-of-Belonging-at-Work-A-Guide-to-Improving-Wellbeing-and-Performance/Waller/p/book/9780367623173?utm_source=chatgpt.com,Book,everyone
The 5 Disciplines of Inclusive Leaders: Unleashing the Power of All of Us,"Outlines five essential disciplines of inclusive leadership, backed by global leadership assessment data, to help leaders build more inclusive and high-performing teams.",https://www.penguinrandomhouse.com/books/646302/the-5-disciplines-of-inclusive-leaders-by-andres-t-tapia-and-alina-polonskaia/?utm_source=chatgpt.com,Book,managers
"Inclusive Leadership: Transforming Diverse Lives, Workplaces, and Societies","A comprehensive collection combining theory and practice, exploring how inclusive leadership transforms individuals, workplaces, and societies globally.",https://www.amazon.com/Inclusive-Leadership-Transforming-Workplaces-Societies-ebook/dp/B08GMW5VNT,Book,managers
Becoming an Inclusive Leader: How to Navigate the 21st-Century Global Workforce,"A practical guide with real-world stories from global organizations, showing how leaders can thrive in diverse, multicultural workplaces.",https://www.kobo.com/es/es/ebook/becoming-an-inclusive-leader-how-to-navigate-the-21st-century-global-workforce?utm_source=chatgpt.com,Book,managers
"Better Allies: Everyday Actions to Create Inclusive, Engaging Workplaces",Offers actionable tips for individuals at all levels to support inclusion and belonging through daily actions and allyship.,https://www.amazon.es/Better-Allies-Everyday-Inclusive-Workplaces/dp/1732723346?utm_source=chatgpt.com,Book,everyone
Daily Practices of Inclusive Leaders: A Guide to Building a Culture of Belonging,"Focuses on small, daily actions leaders can take to nurture an inclusive culture and foster belonging across teams.",https://tertulia.com/book/daily-practices-of-inclusive-leaders-a-guide-to-building-a-culture-of-belonging-eddie-pate/9781523006410?utm_source=chatgpt.com,Book,managers
Imagine Belonging: Your Inclusive Leadership Guide to Building an Equitable Workplace,Combines vision and practical frameworks to help leaders create equitable workplaces where everyone feels they belong.,https://www.rhodesperry.com/book?utm_source=chatgpt.com,Book,managers
Belonging: The Science of Creating Connection and Bridging Divides ,"Explores the science behind belonging, why it matters for individuals and societies, and how leaders can create environments where everyone feels they belong.",https://www.amazon.com/Belonging-Science-Creating-Connection-Bridging/dp/1324006188?utm_source=chatgpt.com,Book,everyone
Leaders Eat Last: Why Some Teams Pull Together and Others Don’t ,"Examines how leaders build trust, safety, and belonging by putting their people first, creating stronger, more cohesive teams.",https://www.amazon.com/Leaders-Eat-Last-Together-Others-ebook/dp/B00DGZKQM8?utm_source=chatgpt.com,Book,managers
The Business of Belonging: How to Make Community Your Competitive Advantage ,A guide for leaders and organizations to build and sustain thriving communities that foster belonging and engagement.,https://www.amazon.com/Business-Belonging-Community-Competitive-Advantage-ebook/dp/B08ZJZM57W?utm_source=chatgpt.com,Book,managers
"Empathy: Why It Matters, and How to Get It ","Explores empathy as a vital skill for connection, belonging, and leadership, with practical steps to cultivate it.",https://www.amazon.com.tr/Empathy-Why-Matters-How-Get/dp/0399171401?utm_source=chatgpt.com,Book,everyone
"Belonging: The Key to Transforming and Maintaining Diversity, Inclusion and Equality at Work","Explores the universal human need for belonging, blending storytelling and research to show how belonging shapes identity and community.",https://www.amazon.com/Belonging-Transforming-Maintaining-Diversity-Inclusion/dp/B09NS14DK8?utm_source=chatgpt.com,Book,everyone
Everybody Matters: The Extraordinary Power of Caring for Your People Like Family – Bob Chapman & Raj Sisodia,"Shows how leaders can create cultures of care and belonging, transforming organizations and driving success through people-first leadership.",https://www.amazon.com/Everybody-Matters-Extraordinary-Caring-People/dp/B08Z5G15RR?utm_source=chatgpt.com,Book,managers
Belonging: The Ancient Code of Togetherness ,"Explores how belonging underpins human motivation and team success, and how leaders can cultivate it intentionally.",https://www.amazon.com/Belonging-Owen-Eastwood/dp/1529410312?utm_source=chatg,Book,everyone
Dare to Lead: Brave Work. Tough Conversations. Whole Hearts,"Combines vulnerability, courage, and belonging as essential components of effective leadership, offering actionable strategies for leaders.",https://www.amazon.com/Dare-Lead-Brave-Conversations-Hearts/dp/0593171128?utm_source=chatgpt.com,Book,managers
The Power of Mattering: How Leaders Can Create a Culture of Significance ,Explains how leaders can foster a sense of mattering — the feeling of being valued and making a difference — as a driver of belonging and engagement.,https://www.amazon.com/Power-Mattering-Leaders-Culture-Significance/dp/B0D8XMWCLJ,Book,managers
The Psychology of Mattering: Understanding the Human Need to Be Significant ,"An academic yet accessible exploration of mattering as a core human need, and how it shapes belonging, motivation, and well-being.",https://www.amazon.com/Psychology-Mattering-Understanding-Human-Significant/dp/012809415X?utm_source=chatgpt.com,Book,everyone
Hiring for Diversity: The Guide to Building an Inclusive and Equitable Organization,Brings together the most cutting-edge practices for implementing a diversity hiring strategy that leaves your organization with a comprehensive view and an actionable plan.  ,https://www.amazon.es/-/pt/dp/1119800900/ref=sr_1_1?crid=ORY8R57BFAPN&dib=eyJ2IjoiMSJ9.NpTl1pey4nINiwd79eUX9_9aQjIO0lTJka64bjjKZDvXmEd9EsU4KUZeRpXhkCo5xoN-jXKTjMpOBvmMXFVMaw.hfASy_iHciv9HPvYuC71YYDLz4WGWist-2CzBlXqeRc&dib_tag=se&keywords=inclusive+hiring&qid=1759828563&sprefix=inclusive+hiring%2Caps%2C82&sr=8-1,Book,hiring team
Hidden Figures (2016) ,"Based on a true story, three African-American women mathematicians at NASA overcome racial and gender discrimination to play pivotal roles in one of the greatest operations in U.S. history — helping launch astronaut John Glenn into orbit.",https://www.imdb.com/title/tt4846340/,Movie,everyone
Remember the Titans (2000),"A true story about a high school football team in Virginia that is forced to integrate, showing how unity and respect can overcome racial division.",https://www.imdb.com/title/tt0210945/ IMDb,Movie,everyone
The Intern (2015),"A retired 70-year-old widower becomes a senior intern at a fashion e-commerce startup and brings experience, perspective, and connection across generations.",https://www.imdb.com/title/tt2361509/ IMDb+1,Movie,everyone
Talent Makers: How the Best Organizations Win through Structured and Inclusive Hiring,This book describes how organizations can build structured hiring processes that reduce bias and improve consistency—with inclusive practices built in.,https://www.amazon.com/Talent-Makers-Organizations-Structured-Inclusive/dp/1119785278?utm_source=chatgpt.com,Book,hiring team
Inclusify: The Power of Uniqueness and Belonging to Build Innovative Teams,"Rather than focusing only on surface diversity, this book emphasizes creating belonging and valuing uniqueness, which supports inclusive hiring and retention.",https://www.amazon.com/Inclusify-Power-Uniqueness-Belonging-Innovative-ebook/dp/B07YKTTW41/ref=sr_1_1?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=MOIBUVA4SQ6O&dib=eyJ2IjoiMSJ9.1M3dllC3nyGVAEebsvitQA.Qa1mrHPIgjOQEito2n5WbkIF5JObN09VO4XaVeFx7eg&dib_tag=se&keywords=Inclusify%3A+The+Power+of+Uniqueness+and+Belonging+to+Build+Innovative+Teams&qid=1759868017&s=digital-text&sprefix=inclusify+the+power+of+uniqueness+and+belonging+to+build+innovative+teams%2Cdigital-text%2C436&sr=1-1,Book,hiring team
Hire With Your Head: Using Performance‑Based Hiring to Build Outstanding … Teams,"A classic on performance-based hiring, which can help clarify objective criteria and reduce subjective bias in selection.",https://www.amazon.com/Hire-Your-Head-Performance-Based-Hiring/dp/0470128356?utm_source=chatgpt.com,Book,hiring team
Inclusion On Purpose,"More oriented to inclusion in general, but provides mindset and structural lessons that connect to inclusive hiring.",https://www.amazon.com/Inclusion-Purpose-Intersectional-Approach-Belonging/dp/0262046555?utm_source=chatgpt.com,Book,managers
Daily Practices of Inclusive Leaders,Offers day-to-day practices for leaders to foster inclusion—helps support the culture around inclusive hiring.,https://www.amazon.com/Daily-Practices-Inclusive-Leaders-Belonging/dp/1523006412/ref=sr_1_1?crid=QVDPE9OU3KKS&dib=eyJ2IjoiMSJ9.oIbwX12bf-Qm0K9hNxvChyO0kZM2yBLoYXHvFuRHqnLVjXfEM8kO7XO0bQ9cfH4R5eRBDPgf1zQT86leGwaZRkdBHVPEu9GRLk_CbcGJIOYcSAIsu4GlSqTbwkfEd-NjaEYntR46-zqvSXzvdyK9NzVmUBA9hJJUhXNbOXLj3QL_mXLwuEhmEFe9uKcK_ue-qUmVV5hbPmE1im6sgYhdvpoF7qMZrjRUrdz2tx6On0Q.HpDdwVaBDU1fn8p43G9fOJ43Jb4GZBV49zkLVTx6eTk&dib_tag=se&keywords=Daily+Practices+of+Inclusive+Leaders&qid=1759868316&sprefix=daily+practices+of+inclusive+leaders%2Caps%2C661&sr=8-1,Book,managers
,,,,
